Account_Number,Customer_ID,Account_Type,Current_Balance,Status
ACC_5001,CUST_1221,,219895.27,Active
ACC_5002,CUST_1151,Current,101355.55,Inactive
ACC_5003,CUST_1488,CURR,45932.27,
ACC_5004,CUST_1218,SAVINGS,,Active
ACC_5005,CUST_1278,Current,23269.99,Active
ACC_5006,CUST_1037,Savings,90970.27,Active
ACC_5007,CUST_1070,,-4406.75,Blocked
ACC_5008,CUST_1027,Current,233890.98,Inactive
ACC_5009,CUST_1005,Current,5198.99,
ACC_5010,CUST_1372,CURR,90807.35,Blocked
ACC_5011,CUST_1446,,44950.11,Active
ACC_5012,CUST_1241,CURR,92829.1,
ACC_5013,CUST_1103,Savings,241250.36,Blocked
ACC_5014,CUST_1044,CURR,146905.03,Inactive
ACC_5015,CUST_1464,CURR,171880.09,Active
ACC_5016,CUST_1083,,241884.7,Inactive
ACC_5017,CUST_1376,Savings,140709.18,Inactive
ACC_5018,CUST_1082,Current,231379.68,Inactive
ACC_5019,CUST_1186,SAVINGS,95027.86,Blocked
ACC_5020,CUST_1404,,37519.3,Blocked
ACC_5021,CUST_1029,Savings,119163.13,Blocked
ACC_5022,CUST_1369,Savings,,Active
ACC_5023,CUST_1026,Current,148937.65,
ACC_5024,CUST_1174,CURR,211079.73,Blocked
ACC_5025,CUST_9999,SAVINGS,89252.94,Active
ACC_5026,CUST_1229,SAVINGS,104275.1,Blocked
ACC_5027,CUST_1473,SAVINGS,21010.45,Inactive
ACC_5028,CUST_1150,Current,84943.85,Active
ACC_5029,CUST_1293,,85109.82,Inactive
ACC_5030,CUST_1333,CURR,1846.9,Blocked
ACC_5031,CUST_1305,CURR,64544.38,Blocked
ACC_5032,CUST_1394,SAVINGS,48118.32,Inactive
ACC_5033,CUST_1362,SAVINGS,31954.69,
ACC_5034,CUST_1398,CURR,212122.92,Inactive
ACC_5035,CUST_1139,Current,120727.78,Active
ACC_5036,CUST_1203,Current,182225.24,Active
ACC_5037,CUST_1075,,114196.2,Active
ACC_5038,CUST_1261,,116916.8,Active
ACC_5039,CUST_1421,SAVINGS,14481.53,Blocked
ACC_5040,CUST_1251,Current,,Blocked
ACC_5041,CUST_1358,Savings,154953.31,Blocked
ACC_5042,CUST_1209,,-2799.9,Blocked
ACC_5043,CUST_1467,SAVINGS,14842.39,Inactive
ACC_5044,CUST_1238,Savings,128205.77,Inactive
ACC_5045,CUST_1058,,38329.31,Inactive
ACC_5046,CUST_1157,SAVINGS,46687.89,
ACC_5047,CUST_1332,CURR,52100.42,
ACC_5048,CUST_1142,CURR,225702.49,Active
ACC_5049,CUST_1008,Current,125957.96,Blocked
ACC_5050,CUST_9999,Savings,30111.45,Blocked
ACC_5051,CUST_1454,CURR,96727.79,Inactive
ACC_5052,CUST_1436,CURR,47508.21,Active
ACC_5053,CUST_1454,CURR,95093.13,Inactive
ACC_5054,CUST_1160,SAVINGS,72025.53,Active
ACC_5055,CUST_1039,CURR,72541.85,Blocked
ACC_5056,CUST_1371,CURR,210355.58,
ACC_5057,CUST_1233,Savings,27738.28,
ACC_5058,CUST_1420,Savings,,Inactive
ACC_5059,CUST_1106,,74055.46,
ACC_5060,CUST_1141,Savings,204003.67,Active
ACC_5061,CUST_1343,,-4958.43,
ACC_5062,CUST_1470,CURR,223903.84,Active
ACC_5063,CUST_1457,Current,209728.1,Active
ACC_5064,CUST_1403,,170109.35,Blocked
ACC_5065,CUST_1360,,99203.36,Blocked
ACC_5066,CUST_1322,CURR,206930.81,Active
ACC_5067,CUST_1113,CURR,87532.38,Active
ACC_5068,CUST_1455,Current,182751.53,Inactive
ACC_5069,CUST_1138,,116309.58,Blocked
ACC_5070,CUST_1497,Current,184589.89,Active
ACC_5071,CUST_1293,Savings,170111.29,Blocked
ACC_5072,CUST_1230,CURR,73365.55,
ACC_5073,CUST_1235,Savings,170071.07,Blocked
ACC_5074,CUST_1320,,152371.24,Blocked
ACC_5075,CUST_9999,CURR,147287.6,Active
ACC_5076,CUST_1497,CURR,,Blocked
ACC_5077,CUST_1198,Savings,217320.41,Blocked
ACC_5078,CUST_1366,,248247.51,
ACC_5079,CUST_1212,,150657.24,Inactive
ACC_5080,CUST_1168,SAVINGS,44779.13,Blocked
ACC_5081,CUST_1406,CURR,179606.36,Inactive
ACC_5082,CUST_1225,SAVINGS,149673.46,Blocked
ACC_5083,CUST_1175,CURR,170360.69,Active
ACC_5084,CUST_1449,Savings,132648.03,
ACC_5085,CUST_1122,,92448.94,
ACC_5086,CUST_1051,Current,238995.4,
ACC_5087,CUST_1320,Current,108353.64,
ACC_5088,CUST_1261,SAVINGS,100409.0,Inactive
ACC_5089,CUST_1313,SAVINGS,11421.27,
ACC_5090,CUST_1007,SAVINGS,104774.68,Blocked
ACC_5091,CUST_1086,CURR,245995.04,Blocked
ACC_5092,CUST_1356,Current,-2945.86,Blocked
ACC_5093,CUST_1436,Savings,158598.15,Blocked
ACC_5094,CUST_1265,Current,,
ACC_5095,CUST_1333,Savings,19099.92,Inactive
ACC_5096,CUST_1497,,111186.0,Blocked
ACC_5097,CUST_1179,Current,84446.83,Inactive
ACC_5098,CUST_1280,CURR,26463.86,Blocked
ACC_5099,CUST_1405,Current,63410.83,Active
ACC_5100,CUST_9999,SAVINGS,12298.58,Blocked
ACC_5101,CUST_1153,Current,193672.22,Inactive
ACC_5102,CUST_1070,SAVINGS,117448.71,
ACC_5103,CUST_1316,,158143.87,
ACC_5104,CUST_1410,,172163.3,Inactive
ACC_5105,CUST_1095,Current,76640.04,
ACC_5106,CUST_1371,CURR,134611.18,Active
ACC_5107,CUST_1435,CURR,97085.71,
ACC_5108,CUST_1144,,156079.98,Inactive
ACC_5109,CUST_1378,Savings,117358.52,Blocked
ACC_5110,CUST_1472,Savings,239806.13,
ACC_5111,CUST_1093,Savings,22032.71,
ACC_5112,CUST_1428,Current,,Blocked
ACC_5113,CUST_1452,Savings,94586.39,Inactive
ACC_5114,CUST_1083,SAVINGS,21675.29,
ACC_5115,CUST_1251,SAVINGS,172670.79,
ACC_5116,CUST_1236,CURR,173720.83,Inactive
ACC_5117,CUST_1208,SAVINGS,113604.44,
ACC_5118,CUST_1134,CURR,102805.73,
ACC_5119,CUST_1146,Savings,65404.26,Inactive
ACC_5120,CUST_1008,CURR,198508.74,Inactive
ACC_5121,CUST_1384,Current,20026.17,Blocked
ACC_5122,CUST_1479,CURR,45694.38,
ACC_5123,CUST_1342,Savings,234304.1,
ACC_5124,CUST_1011,Savings,114334.15,Inactive
ACC_5125,CUST_9999,CURR,11613.05,
ACC_5126,CUST_1376,CURR,72888.2,Blocked
ACC_5127,CUST_1472,CURR,103673.86,Blocked
ACC_5128,CUST_1346,SAVINGS,236386.42,Inactive
ACC_5129,CUST_1111,CURR,116562.33,Active
ACC_5130,CUST_1266,,,Inactive
ACC_5131,CUST_1129,,31512.16,Active
ACC_5132,CUST_1271,Savings,127441.12,Blocked
ACC_5133,CUST_1089,CURR,29846.87,
ACC_5134,CUST_1047,,194312.83,Inactive
ACC_5135,CUST_1107,,214017.48,Inactive
ACC_5136,CUST_1314,CURR,45174.79,Blocked
ACC_5137,CUST_1209,,101204.54,Inactive
ACC_5138,CUST_1393,Current,36722.78,Inactive
ACC_5139,CUST_1259,Savings,41354.84,
ACC_5140,CUST_1081,SAVINGS,32725.96,
ACC_5141,CUST_1334,SAVINGS,78948.05,
ACC_5142,CUST_1064,,183324.61,Inactive
ACC_5143,CUST_1041,CURR,175339.84,
ACC_5144,CUST_1375,Current,189287.15,
ACC_5145,CUST_1379,SAVINGS,67066.98,Active
ACC_5146,CUST_1455,Current,100085.98,Active
ACC_5147,CUST_1055,SAVINGS,144855.34,Active
ACC_5148,CUST_1221,SAVINGS,,Inactive
ACC_5149,CUST_1346,SAVINGS,137473.61,Blocked
ACC_5150,CUST_9999,Current,2467.39,Active
ACC_5151,CUST_1358,,44640.27,Active
ACC_5152,CUST_1167,Current,108509.51,
ACC_5153,CUST_1064,,186297.76,Blocked
ACC_5154,CUST_1086,,147744.27,Blocked
ACC_5155,CUST_1407,,188183.18,Active
ACC_5156,CUST_1318,Current,12441.63,Active
ACC_5157,CUST_1392,,217419.79,Blocked
ACC_5158,CUST_1279,SAVINGS,174814.08,Inactive
ACC_5159,CUST_1487,SAVINGS,42960.67,
ACC_5160,CUST_1024,SAVINGS,11048.13,Active
ACC_5161,CUST_1139,Current,70282.15,Active
ACC_5162,CUST_1144,,182276.25,Active
ACC_5163,CUST_1112,Current,147366.49,Active
ACC_5164,CUST_1362,Current,112221.52,
ACC_5165,CUST_1136,,199627.52,Inactive
ACC_5166,CUST_1345,CURR,,Blocked
ACC_5167,CUST_1230,SAVINGS,103189.56,
ACC_5168,CUST_1351,CURR,74090.52,Blocked
ACC_5169,CUST_1351,Savings,22234.11,Inactive
ACC_5170,CUST_1218,Current,48410.71,Inactive
ACC_5171,CUST_1088,CURR,49569.31,Active
ACC_5172,CUST_1270,Current,36123.0,
ACC_5173,CUST_1280,SAVINGS,217706.17,Active
ACC_5174,CUST_1166,,8018.32,Inactive
ACC_5175,CUST_9999,SAVINGS,12119.43,Inactive
ACC_5176,CUST_1472,,225048.63,
ACC_5177,CUST_1259,SAVINGS,150832.04,Active
ACC_5178,CUST_1089,SAVINGS,73980.77,Blocked
ACC_5179,CUST_1277,SAVINGS,15762.81,Blocked
ACC_5180,CUST_1274,CURR,64408.19,Inactive
ACC_5181,CUST_1393,Savings,247824.81,Active
ACC_5182,CUST_1185,Current,235002.15,Inactive
ACC_5183,CUST_1098,Savings,144292.56,
ACC_5184,CUST_1061,CURR,,Active
ACC_5185,CUST_1002,,153740.69,Active
ACC_5186,CUST_1356,SAVINGS,191269.55,Blocked
ACC_5187,CUST_1308,SAVINGS,209613.84,Inactive
ACC_5188,CUST_1409,SAVINGS,121505.01,Inactive
ACC_5189,CUST_1418,,35134.95,
ACC_5190,CUST_1465,SAVINGS,244825.06,
ACC_5191,CUST_1500,CURR,225996.44,Blocked
ACC_5192,CUST_1122,Current,236635.22,
ACC_5193,CUST_1085,,24444.09,Active
ACC_5194,CUST_1041,,86343.14,Inactive
ACC_5195,CUST_1149,,211778.66,
ACC_5196,CUST_1056,,1865.59,
ACC_5197,CUST_1196,Savings,243869.73,Inactive
ACC_5198,CUST_1474,SAVINGS,57559.26,Inactive
ACC_5199,CUST_1394,Current,90747.09,
ACC_5200,CUST_9999,,214593.21,
ACC_5201,CUST_1042,CURR,185497.26,Blocked
ACC_5202,CUST_1350,,,Active
ACC_5203,CUST_1186,CURR,26681.01,Inactive
ACC_5204,CUST_1395,Current,117194.76,
ACC_5205,CUST_1136,CURR,166126.79,Active
ACC_5206,CUST_1182,CURR,99140.9,Inactive
ACC_5207,CUST_1479,CURR,177656.98,Blocked
ACC_5208,CUST_1028,,4519.18,Blocked
ACC_5209,CUST_1414,Current,189242.97,Inactive
ACC_5210,CUST_1373,CURR,69527.91,Blocked
ACC_5211,CUST_1222,,39661.09,Active
ACC_5212,CUST_1473,CURR,197791.79,Blocked
ACC_5213,CUST_1366,Current,178729.58,Active
ACC_5214,CUST_1193,Savings,39831.98,Active
ACC_5215,CUST_1163,CURR,188497.37,Active
ACC_5216,CUST_1434,SAVINGS,148386.6,Inactive
ACC_5217,CUST_1486,SAVINGS,239023.1,Active
ACC_5218,CUST_1154,Savings,166215.43,
ACC_5219,CUST_1222,Current,229285.09,Blocked
ACC_5220,CUST_1046,CURR,,
ACC_5221,CUST_1359,CURR,39313.28,Active
ACC_5222,CUST_1497,,125720.4,Inactive
ACC_5223,CUST_1344,,146161.26,Inactive
ACC_5224,CUST_1284,CURR,31897.18,Active
ACC_5225,CUST_9999,Current,234474.88,Active
ACC_5226,CUST_1051,Savings,72023.01,Inactive
ACC_5227,CUST_1358,Savings,199741.36,Blocked
ACC_5228,CUST_1287,,-2963.07,Inactive
ACC_5229,CUST_1017,Current,122009.98,Blocked
ACC_5230,CUST_1002,Current,150087.03,Active
ACC_5231,CUST_1235,Savings,137700.09,Blocked
ACC_5232,CUST_1276,Current,91610.32,Active
ACC_5233,CUST_1393,CURR,111697.31,
ACC_5234,CUST_1320,,248910.17,Active
ACC_5235,CUST_1131,SAVINGS,31738.55,
ACC_5236,CUST_1105,SAVINGS,88282.24,Blocked
ACC_5237,CUST_1348,,201588.62,Active
ACC_5238,CUST_1291,CURR,,Blocked
ACC_5239,CUST_1294,Current,134093.29,Blocked
ACC_5240,CUST_1364,SAVINGS,26665.96,
ACC_5241,CUST_1130,SAVINGS,230054.42,Inactive
ACC_5242,CUST_1063,Current,58890.43,Active
ACC_5243,CUST_1133,Savings,236203.4,Blocked
ACC_5244,CUST_1003,SAVINGS,51210.57,Blocked
ACC_5245,CUST_1208,,151466.29,Active
ACC_5246,CUST_1069,Current,111482.43,Inactive
ACC_5247,CUST_1007,Savings,165471.59,Blocked
ACC_5248,CUST_1293,SAVINGS,8584.12,
ACC_5249,CUST_1127,,213669.08,
ACC_5250,CUST_9999,SAVINGS,107186.88,Active
ACC_5251,CUST_1219,CURR,234904.37,
ACC_5252,CUST_1262,SAVINGS,226462.94,Inactive
ACC_5253,CUST_1035,Current,241833.86,
ACC_5254,CUST_1229,SAVINGS,242236.96,Blocked
ACC_5255,CUST_1417,Savings,249598.84,Active
ACC_5256,CUST_1201,SAVINGS,,Blocked
ACC_5257,CUST_1020,Savings,230218.17,
ACC_5258,CUST_1206,Savings,199532.9,
ACC_5259,CUST_1405,Current,170279.88,Blocked
ACC_5260,CUST_1499,,-1102.29,Inactive
ACC_5261,CUST_1395,CURR,13196.34,Blocked
ACC_5262,CUST_1194,Savings,70785.84,Inactive
ACC_5263,CUST_1296,CURR,70782.04,Active
ACC_5264,CUST_1218,Current,116213.61,Blocked
ACC_5265,CUST_1076,SAVINGS,77731.02,
